Reward,Average Reward,Steps
-21,-21,1089
-21,-21,880
-20,-20.667,1077
-21,-20.75,883
-21,-20.8,823
-21,-20.833,782
-21,-20.857,791
-20,-20.75,914
-20,-20.667,870
-21,-20.7,967
-20,-20.636,886
-19,-20.5,947
-18,-20.308,1209
-21,-20.357,823
-21,-20.4,763
-21,-20.438,763
-20,-20.412,902
-21,-20.444,872
-21,-20.474,825
-19,-20.4,1011
-21,-20.429,763
-20,-20.409,897
-21,-20.435,763
-21,-20.458,971
-21,-20.48,884
-21,-20.5,763
-20,-20.481,842
-20,-20.464,950
-21,-20.483,763
-21,-20.5,763
-21,-20.516,851
-21,-20.531,880
-21,-20.545,763
-21,-20.559,763
-21,-20.571,763
-20,-20.556,841
-21,-20.568,791
-21,-20.579,763
-21,-20.59,763
-21,-20.6,810
-19,-20.561,939
-21,-20.571,763
-21,-20.581,823
-21,-20.591,763
-21,-20.6,763
-21,-20.609,763
-21,-20.617,763
-21,-20.625,851
-20,-20.612,843
-19,-20.58,1126
-21,-20.588,823
-20,-20.577,1015
-19,-20.547,1006
-20,-20.537,978
-21,-20.545,782
-20,-20.536,897
-21,-20.544,946
-21,-20.552,825
-20,-20.542,888
-19,-20.517,1121
-21,-20.525,911
-21,-20.532,872
-20,-20.524,1037
-21,-20.531,941
-21,-20.538,842
-20,-20.53,1098
-20,-20.522,915
-21,-20.529,851
-21,-20.536,852
-21,-20.543,889
-20,-20.535,940
-21,-20.542,870
-21,-20.548,923
-21,-20.554,819
-20,-20.547,841
-21,-20.553,821
-20,-20.545,898
-19,-20.526,1432
-19,-20.506,1059
-19,-20.488,1308
-17,-20.444,1315
-18,-20.415,1212
-19,-20.398,1566
-20,-20.393,1248
-15,-20.329,1355
-18,-20.302,1558
-16,-20.253,1867
-19,-20.239,1447
-19,-20.225,1561
-20,-20.222,1355
-18,-20.198,1343
-20,-20.196,1784
-17,-20.161,1627
-17,-20.128,1924
-20,-20.126,1372
-18,-20.104,1830
-16,-20.062,2068
-20,-20.061,1324
-20,-20.061,1457
-19,-20.05,1482
-16,-20,1729
-17,-19.96,1683
-17,-19.93,1748
-20,-19.92,1249
-18,-19.89,1637
-19,-19.87,1559
-18,-19.84,1555
-19,-19.83,1705
-18,-19.81,1555
-19,-19.79,1746
-13,-19.72,1967
-19,-19.72,1784
-20,-19.74,1388
-18,-19.71,1790
-17,-19.67,1655
-20,-19.66,1537
-21,-19.67,1269
-18,-19.64,1525
-17,-19.6,2113
-21,-19.62,1171
-17,-19.58,2047
-17,-19.55,1959
-19,-19.53,1868
-16,-19.48,2065
-21,-19.48,1419
-19,-19.46,1605
-18,-19.44,1921
-19,-19.43,1559
-16,-19.38,1793
-18,-19.35,1542
-18,-19.32,1703
-19,-19.3,1701
-19,-19.28,1596
-18,-19.25,1917
-18,-19.22,1671
-20,-19.22,1679
-20,-19.21,1371
-19,-19.19,1798
-19,-19.17,1692
-17,-19.13,1523
-19,-19.13,1428
-17,-19.09,1613
-18,-19.06,1744
-17,-19.02,1894
-17,-18.98,2086
-21,-18.98,1373
-19,-18.96,1609
-17,-18.92,1762
-18,-18.9,1900
-19,-18.9,1685
-17,-18.86,1790
-16,-18.82,2116
-16,-18.79,1908
-18,-18.77,1513
-15,-18.71,2411
-16,-18.67,1969
-14,-18.6,2279
-19,-18.58,1575
-16,-18.54,2322
-15,-18.5,2098
-17,-18.46,2045
-19,-18.44,1561
-15,-18.39,2480
-16,-18.34,1910
-19,-18.32,1464
-18,-18.3,2036
-18,-18.28,1679
-18,-18.25,1867
-18,-18.22,1671
-16,-18.17,2163
-13,-18.1,2507
-17,-18.06,1824
-14,-17.99,2065
-13,-17.91,2443
-17,-17.88,1999
-20,-17.87,1501
-18,-17.85,2004
-16,-17.82,2079
-16,-17.79,2121
-16,-17.76,2132
-15,-17.74,1945
-18,-17.74,2043
-18,-17.73,1634
-19,-17.72,1669
-16,-17.73,1958
-16,-17.71,1919
-14,-17.69,2219
-11,-17.61,2553
-17,-17.59,2016
-13,-17.52,2251
-18,-17.52,1503
-13,-17.45,2117
-17,-17.45,2216
-15,-17.43,2150
-14,-17.37,1882
-16,-17.35,1802
-18,-17.37,1828
-18,-17.35,1699
-15,-17.3,2068
-13,-17.24,2459
-16,-17.24,1933
-15,-17.22,1998
-15,-17.2,2335
-13,-17.13,2141
-12,-17.07,2446
-14,-17.02,2262
-15,-16.99,2051
-18,-16.98,1990
-12,-16.92,2091
-13,-16.86,1931
-18,-16.91,1630
-16,-16.88,1940
-14,-16.82,2179
-16,-16.8,1754
-15,-16.78,1964
-17,-16.75,1670
-17,-16.71,1506
-18,-16.71,1935
-16,-16.7,1866
-20,-16.69,1520
-17,-16.69,1656
-16,-16.68,1939
-16,-16.65,1937
-13,-16.62,2223
-17,-16.58,1983
-13,-16.52,2336
-15,-16.49,2356
-8,-16.38,2473
-17,-16.39,1575
-14,-16.35,1810
-16,-16.33,1927
-17,-16.31,1638
-11,-16.23,2478
-18,-16.23,1493
-16,-16.21,1884
-13,-16.14,1978
-13,-16.07,1903
-10,-15.98,2461
-17,-15.96,1721
-15,-15.94,1856
-11,-15.86,2208
-12,-15.81,2204
-13,-15.76,2242
-16,-15.75,1878
-13,-15.71,2308
-12,-15.62,2484
-8,-15.51,2756
-13,-15.47,2475
-9,-15.38,2595
-10,-15.29,2470
-14,-15.26,2395
-9,-15.19,2730
-9,-15.12,2403
-13,-15.07,2216
-7,-14.99,2889
-13,-14.96,2439
-16,-14.98,1905
-15,-14.94,1750
-6,-14.84,2948
-10,-14.79,2319
-12,-14.74,2096
-12,-14.67,2172
-15,-14.67,1854
-14,-14.65,1973
-15,-14.61,2095
-15,-14.58,1988
-12,-14.52,2203
-10,-14.44,2274
-13,-14.39,2133
-13,-14.36,2134
-17,-14.4,1670
